MSTATE,zip_clean,parcel_count,avg_parcel_value,median_parcel_value,total_parcel_value,min_parcel_value,max_parcel_value
NC,27155,2,325939,265302,651878,265302,386576
NC,27506,2,426483,418339,852966,418339,434627
NC,27599,2,151480,64960,302960,64960,238000
NC,28370,2,1233364,342794,2466727,342794,2123933
NC,28377,2,342980,325859,685960,325859,360101
NC,28578,2,296489,275448,592977,275448,317529
NC,28626,2,428043,207773,856086,207773,648313
NC,27025,2,472756,371867,945512,371867,573645
NC,27105,2,290001,165032,580002,165032,414970
NC,27214,2,292996,242176,585992,242176,343816
NC,27216,2,797589,294072,1595178,294072,1301106
NC,27217,2,321906,221783,643811,221783,422028
NC,27239,2,690568,309512,1381136,309512,1071624
NC,27285,2,1684932,510000,3369863,510000,2859863
NC,27295,2,560887,535434,1121774,535434,586340
NC,27341,2,249807,245871,499613,245871,253742
NC,27403,2,2289350,375553,4578700,375553,4203147
NC,27507,2,393071,342120,786141,342120,444021
NC,27543,2,454156,309143,908312,309143,599169
NC,27581,2,672021,598088,1344041,598088,745953
NC,27802,2,330083,219580,660165,219580,440585
NC,27822,2,196888,147665,393776,147665,246111
NC,27976,2,277546,239832,555092,239832,315260
NC,28002,2,814758,341246,1629516,341246,1288270
NC,28053,2,1385850,43124,2771700,43124,2728576
NC,28097,2,428853,267516,857706,267516,590190
NC,28125,2,398360,321322,796720,321322,475398
NC,28127,2,544232,431832,1088464,431832,656632
NC,28128,2,461489,442225,922978,442225,480753
NC,28302,2,1828837,326204,3657674,326204,3331470
NC,28339,2,300146,241636,600292,241636,358656
NC,28425,2,445327,434319,890654,434319,456335
NC,28470,2,346473,303241,692946,303241,389705
NC,28472,2,2259175,289101,4518349,289101,4229248
NC,28503,2,994131,254826,1988261,254826,1733435
NC,28544,2,356152,326151,712303,326151,386152
NC,28585,2,621900,505190,1243800,505190,738610
NC,28610,2,235435,146279,470870,146279,324591
NC,28692,2,378388,343609,756776,343609,413167
NC,28739,2,1859919,313185,3719837,313185,3406652
NC,28756,2,265279,156643,530557,156643,373914
NC,28772,2,497056,474535,994111,474535,519576
NC,27317,2,452191,391512,904381,391512,512869
NC,27505,2,263083,195156,526166,195156,331010
NC,27801,2,390741,95050,781481,95050,686431
NC,27864,2,2025541,268314,4051081,268314,3782767
NC,28904,2,427270,322009,854540,322009,532531
NC,27962,2,161798,150000,323596,150000,173596
NC,27837,2,528029,528029,1056058,528029,528029
NC,27242,2,553065,318210,1106129,318210,787919
NC,27892,2,2806772,333280,5613543,333280,5280263
NC,28103,2,648339,365136,1296678,365136,931542
NC,28372,2,324389,313772,648778,313772,335006
NC,27584,1,518304,518304,518304,518304,518304
NC,27823,1,650194,650194,650194,650194,650194
NC,27839,1,353520,353520,353520,353520,353520
NC,28420,1,4166589,4166589,4166589,4166589,4166589
NC,28479,1,1066060,1066060,1066060,1066060,1066060
NC,28575,1,1454355,1454355,1454355,1454355,1454355
NC,28675,1,275279,275279,275279,275279,275279
NC,28730,1,277556,277556,277556,277556,277556
NC,28906,1,611222,611222,611222,611222,611222
NC,27017,1,253523,253523,253523,253523,253523
NC,28431,1,328330,328330,328330,328330,328330
NC,28441,1,329270,329270,329270,329270,329270
NC,28573,1,725269,725269,725269,725269,725269
NC,28741,1,663855,663855,663855,663855,663855
NC,27019,1,305529,305529,305529,305529,305529
NC,27028,1,298506,298506,298506,298506,298506
NC,27041,1,294244,294244,294244,294244,294244
NC,27048,1,331765,331765,331765,331765,331765
NC,27233,1,229137,229137,229137,229137,229137
NC,27355,1,525700,525700,525700,525700,525700
NC,27417,1,463533,463533,463533,463533,463533
NC,27880,1,328803,328803,328803,328803,328803
NC,27897,1,287936,287936,287936,287936,287936
NC,28090,1,290513,290513,290513,290513,290513
NC,28092,1,226554,226554,226554,226554,226554
NC,28221,1,363874,363874,363874,363874,363874
NC,28307,1,318666,318666,318666,318666,318666
NC,28353,1,361939,361939,361939,361939,361939
NC,28515,1,291452,291452,291452,291452,291452
NC,28651,1,349346,349346,349346,349346,349346
NC,28679,1,227705,227705,227705,227705,227705
NC,28752,1,270254,270254,270254,270254,270254
NC,27009,1,328837,328837,328837,328837,328837
NC,27011,1,189537,189537,189537,189537,189537
NC,27052,1,164264,164264,164264,164264,164264
NC,27209,1,421064,421064,421064,421064,421064
NC,27299,1,1393920,1393920,1393920,1393920,1393920
NC,27340,1,446053,446053,446053,446053,446053
NC,27342,1,319034,319034,319034,319034,319034
NC,27356,1,353668,353668,353668,353668,353668
NC,27420,1,209516,209516,209516,209516,209516
NC,27425,1,1104991,1104991,1104991,1104991,1104991
NC,27438,1,289174,289174,289174,289174,289174
NC,27810,1,408219,408219,408219,408219,408219
