MCITY,MSTATE,MZIP,data_quality_issue
SAN JOSE,CA,95120-1813,Bad State
SAN JOSE,CA,95120-2151,Bad State
SAN JOSE,CA,95124-5337,Bad State
SAN JOSE,CA,95124-6411,Bad State
SAN JOSE,CA,95129-4452,Bad State
SAN JOSE,CA,95134-3550,Bad State
PORTLAND,OR,97229-7105,Bad State
BELLEVUE,WA,98006-5039,Bad State
SPOKANE,WA,99204-3651,Bad State
ANDOVER,MA,01810-6050,Bad State
NEW YORK,NY,10024-6140,Bad State
NEW YORK,NY,10038-3641,Bad State
ELMHURST,NY,11373-5517,Bad State
CORNING,NY,14830-2303,Bad State
PHILADELPHIA,PA,19139-4480,Bad State
MIDDLETOWN,DE,19709-5200,Bad State
ALDIE,VA,20105-2678,Bad State
BROADLANDS,VA,20148-4547,Bad State
ASHBURN,VA,20148-6759,Bad State
CHANTILLY,VA,20152-5953,Bad State
CHANTILLY,VA,20152-6421,Bad State
GLEN ALLEN,VA,23059-5953,Bad State
CUMMING,GA,30040-5920,Bad State
PLANO,TX,75093-5029,Bad State
HOUSTON,TX,77079-5013,Bad State
LEANDER,TX,78641-5308,Bad State
AUSTIN,TX,78717-5040,Bad State
CANOGA PARK,CA,91304-6033,Bad State
IRVINE,CA,92618-5956,Bad State
MENLO PARK,CA,94025-6205,Bad State
PALO ALTO,CA,94306-3203,Bad State
FREMONT,CA,94538-6274,Bad State
LIVERMORE,CA,94550-4714,Bad State
FREMONT,CA,94555-3031,Bad State
SAN JOSE,CA,95127-1133,Bad State
FOLSOM,CA,95630-6014,Bad State
SNOHOMISH,WA,98296-3964,Bad State
WASHOUGAL,WA,98671-8587,Bad State
CHRISTIANSTED,VI,00823-8606,Bad State
EASTHAMPTON,MA,01027-2515,Bad State
SOUTHBOROUGH,MA,01772-1774,Bad State
ANDOVER,MA,01810-2973,Bad State
WESTFORD,MA,01886-2229,Bad State
CANTON,MA,02021-3005,Bad State
SHARON,MA,02067-2447,Bad State
CAMBRIDGE,MA,02141-1436,Bad State
EVERETT,MA,02149-2604,Bad State
MELROSE,MA,02176-1304,Bad State
CENTERVILLE,MA,02632-2603,Bad State
CHARLESTOWN,RI,02813-6104,Bad State
NASHUA,NH,03062-3087,Bad State
NASHUA,NH,03062-4538,Bad State
JEFFERSON,ME,04348-4063,Bad State
BOTSFORD,CT,06404-0210,Bad State
FAIRFIELD,CT,06824-1707,Bad State
LIVINGSTON,NJ,07039-3111,Bad State
RUTHERFORD,NJ,07070-2726,Bad State
WALDWICK,NJ,07463-1757,Bad State
SHREWSBURY,NJ,07702-4135,Bad State
NEPTUNE,NJ,07753-3187,Bad State
SUMMIT,NJ,07901-4903,Bad State
LAWRENCEVILLE,NJ,08648-2679,Bad State
EDISON,NJ,08820-3549,Bad State
ISELIN,NJ,08830-1516,Bad State
PISCATAWAY,NJ,08854-1477,Bad State
SOMERSET,NJ,08873-2760,Bad State
N BRUNSWICK,NJ,08902-5598,Bad State
DPO,AE,09827,Bad State
NEW YORK,NY,10002-2347,Bad State
NEW YORK,NY,10069-0120,Bad State
NEW YORK,NY,10282-1029,Bad State
CROTON ON HUDSON,NY,10521-0455,Bad State
PURCHASE,NY,10577-1935,Bad State
MIDDLETOWN,NY,10941-8801,Bad State
WEST POINT,NY,10996-1216,Bad State
FRANKLIN SQUARE,NY,11010-1918,Bad State
ASTORIA,NY,11102-4587,Bad State
FLUSHING,NY,11355-1812,Bad State
COLLEGE POINT,NY,11356-1024,Bad State
CAMBRIA HEIGHTS,NY,11411-1129,Bad State
JAMAICA,NY,11433-3936,Bad State
ROOSEVELT,NY,11575-2423,Bad State
NORTH BELLMORE,NY,11710-5554,Bad State
EAST ISLIP,NY,11730-3205,Bad State
WOODBURY,NY,11797-1507,Bad State
MANORVILLE,NY,11949-3106,Bad State
MECHANICVILLE,NY,12118-3405,Bad State
FISHKILL,NY,12524-4902,Bad State
POUGHKEEPSIE,NY,12603-1721,Bad State
POUGHKEEPSIE,NY,12603-6244,Bad State
BOVINA CENTER,NY,13740-0059,Bad State
ROCHESTER,NY,14616-2741,Bad State
WATKINS GLEN,NY,14891-1354,Bad State
PITTSBURGH,PA,15201-1509,Bad State
STATE COLLEGE,PA,16801-3061,Bad State
MACUNGIE,PA,18062-8869,Bad State
EAST STROUDSBURG,PA,18301-9364,Bad State
COLMAR,PA,18915-3104,Bad State
YARDLEY,PA,19067-4377,Bad State
PHILADELPHIA,PA,19146-3959,Bad State
BERWYN,PA,19312-1433,Bad State
BERWYN,PA,19312-1978,Bad State
COATESVILLE,PA,19320-1224,Bad State
DOWNINGTOWN,PA,19335-1098,Bad State
WEST CHESTER,PA,19382-7314,Bad State
WILMINGTON,DE,19808-2947,Bad State
WASHINGTON,DC,20001-9080,Bad State
ASHBURN,VA,20147-2704,Bad State
ASHBURN,VA,20147-3192,Bad State
BRAMBLETON,VA,20148-4924,Bad State
STERLING,VA,20165-6482,Bad State
STERLING,VA,20166-2744,Bad State
ACCOKEEK,MD,20607-3463,Bad State
LAUREL,MD,20708-2451,Bad State
SAVAGE,MD,20763-0357,Bad State
BETHESDA,MD,20817-6613,Bad State
ROCKVILLE,MD,20850-1106,Bad State
ROCKVILLE,MD,20850-7751,Bad State
ROCKVILLE,MD,20853-2813,Bad State
POTOMAC,MD,20854-1118,Bad State
POTOMAC,MD,20854-1458,Bad State
